DEBKGID;NNID;NAME;RS;OBA;KFZ;GEOLA;GEOBR;GKRE;GKHO;UTMRE;UTMHO
DEBKGDL20000DZCX;DEBKGGND00001HQJ;Oberallgäu;09780;AX_KreisRegion (Landkreis);OA;101538;473444;3594906.5884116706;5271940.829446468;594793.1347592402;5270271.821001182
DEBKGDL20000E6H4;DEBKGGND00001G74;Oberbergischer Kreis;05374;AX_KreisRegion (Kreis);GM;073101;510045;3396000.457663502;5654091.017450613;395967.41887623;5652270.228368783
DEBKGDL20000E2H1;DEBKGGND00001CHE;Oberhausen;05119;AX_KreisRegion (Kreisfreie Stadt);OB;065108;512813;3350847.448245038;5706156.4185406305;350832.6068572162;5704315.553130846
DEBKGDL20000DZKC;DEBKGGND00001JXZ;Oberhavel;12065;AX_KreisRegion (Landkreis);OHV;131219;525423;3782948.7888733153;5872047.723779931;782763.9543739175;5870135.637226057
DEBKGDL20000E6ZP;DEBKGGND00001BEG;Oberspreewald-Lausitz;12066;AX_KreisRegion (Landkreis);OSL  CA  SFB;135636;513657;3842375.5148165235;5731757.943523383;842165.3465752583;5729901.559992021
DEBKGDL20000DZ82;DEBKGGND00001DRP;Odenwaldkreis;06437;AX_KreisRegion (Landkreis);ERB;085846;494017;3498596.507219012;5503863.019411076;498521.9191299918;5502101.030443116
DEBKGDL20000E0J4;DEBKGGND00001ADU;Oder-Spree;12067;AX_KreisRegion (Landkreis);LOS  BSK  EH  FW;141311;521438;3856482.9348227866;5802905.556606488;856267.765612476;5801020.301370269
DEBKGDL20000E5QK;DEBKGGND00001GZ4;Offenbach;06438;AX_KreisRegion (Landkreis);OF;084912;500036;3487162.798343874;5541528.755581967;487092.98969041574;5539751.867936025
DEBKGDL20000E5QM;DEBKGGND00001ER0;Offenbach am Main;06413;AX_KreisRegion (Kreisfreie Stadt);OF;084552;500620;3483223.4178999774;5552175.8909782795;483155.2502765589;5550394.798368665
DEBKGDL20000E3FX;DEBKGGND00001EX5;Oldenburg;03458;AX_KreisRegion (Landkreis);OL;082322;525917;3459074.2940436313;5873020.892847542;459019.1361322684;5871112.634547493
DEBKGDL20000DZLX;DEBKGGND00001ADO;Oldenburg (Oldb);03403;AX_KreisRegion (Kreisfreie Stadt);OL;081247;530824;3447405.4250997156;5890051.50227579;447355.1644109381;5888136.633065769
